Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,13018.04,16639.73,392000.00,137,0,75,0,103,0,71,0,6,0.7456027360503698,852
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,909275.93,238169.07,3046500.00,4062,0,2724,0,2576,0,1209,0,92,0.8052518328434327,12732
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,983547.96,616660.52,5674750.00,9489,0,1687,0,18908,0,2026,0,189,0.8054154487743919,24096
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,339541.72,420952.15,57380100.00,5902,816,0,1944,6464,281,3288,134,123,0.9392956411518196,33996
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,493128.94,415724.67,45079200.00,5085,0,1456,0,5446,0,2264,0,102,0.9215016926672306,25188
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,381266.87,340970.00,58871500.00,5593,789,0,2232,5724,206,3208,98,129,0.9397801394446872,31272
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,363145.12,296010.00,54702000.00,5105,706,0,1785,5565,293,2642,87,106,0.9391922544890013,27552
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,372769.11,273780.00,58690800.00,5007,645,0,1700,5120,155,2392,123,104,0.9407519151165495,28080
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,216492.36,109120.00,64609600.00,2521,3531,0,1708,1211,5299,2612,172,107,0.9253967350342133,29520
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,4152120.12,0.00,0,3895,0,1618,0,3315,0,1873,37,1.031795942420824,18012
